Wed Mar 23 2022 10:38:22 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:38:27 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:38:29 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:38:33 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:38:37 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:38:40 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:38:43 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:38:50 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:39:10 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:39:14 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:39:16 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:39:49 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:39:59 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:40:01 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:40:15 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:40:16 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:40:22 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:40:25 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:48:49 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:55:03 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:55:24 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:16:57 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:17:58 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:18:06 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:19:10 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:21:27 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 11:21:46 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:45:39 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:45:45 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:45:47 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:46:50 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:47:46 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:47:57 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:48:51 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
